,Nombre,ISO3,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Aruba,ABW,38.797,40.231,41.758,43.305,44.869,46.464,48.094,49.747,51.404,53.044,54.608,55.811,56.682,57.475,58.178,58.782,59.291,59.522,59.471,59.33,59.106,58.816,58.855,59.365,60.028,60.715,61.193,61.465,61.738,62.006,62.267,62.614,63.116,63.683,64.174,64.478,64.553,64.45,64.332,64.596,65.712,67.864,70.192,72.36,74.71,77.05,79.417,81.858,84.355,86.867,89.101,90.691,91.781,92.701,93.54,94.483,95.606,96.787,97.996,99.212,100.341,101.288,102.112,102.88,103.594,104.257,104.874,105.439,105.962,106.442,106.585,106.537
11,Australia,AUS,8177.167,8419.83,8632.792,8819.165,9003.37,9209.844,9429.81,9644.191,9853.146,10065.683,10286.647,10505.938,10711.941,10917.375,11131.609,11359.442,11592.675,11809.11,12027.262,12268.349,12595.034,12993.834,13300.308,13513.318,13713.388,13886.854,14038.072,14193.365,14355.814,14520.527,14706.322,14930.052,15168.445,15383.076,15579.476,15785.682,16012.299,16259.249,16525.903,16796.588,17048.003,17271.086,17462.504,17631.511,17805.504,18002.999,18211.845,18410.25,18601.667,18800.892,19017.963,19248.143,19475.844,19698.999,19925.056,20171.731,20467.03,20830.828,21247.873,21660.892,22019.168,22357.034,22729.269,23111.782,23469.579,23820.236,24195.701,24590.334,24979.23,25357.17,25670.051,25921.089
12,Austria,AUT,6936.44,6930.431,6927.015,6931.794,6939.642,6946.26,6951.739,6965.319,6986.787,7013.596,7046.553,7085.435,7128.967,7174.868,7222.9,7269.888,7320.913,7375.63,7413.808,7439.324,7465.301,7498.541,7542.077,7584.023,7597.03,7576.926,7563.511,7566.358,7560.249,7547.481,7547.561,7566.316,7571.289,7559.11,7558.563,7562.114,7567.248,7572.38,7583.761,7619.391,7678.729,7755.638,7840.816,7905.278,7935.365,7947.296,7958.041,7967.093,7975.862,7991.377,8010.428,8039.626,8078.992,8120.104,8171.217,8227.034,8267.763,8294.722,8321.131,8342.935,8362.829,8391.2,8429.637,8479.539,8546.066,8642.421,8736.487,8797.496,8840.513,8879.94,8907.777,8922.082
13,Azerbaijan,AZE,3158.966,3225.28,3296.85,3374.174,3458.184,3550.017,3649.871,3758.021,3874.677,3999.395,4131.484,4269.886,4412.316,4556.648,4699.755,4837.811,4969.078,5091.822,5207.417,5318.38,5425.317,5529.211,5630.344,5729.065,5826.984,5925.012,6021.448,6115.755,6208.636,6297.208,6383.06,6472.524,6567.522,6669.007,6777.225,6891.14,7009.127,7132.685,7261.151,7348.874,7427.836,7538.267,7643.338,7740.107,7821.88,7889.33,7949.101,8000.061,8041.096,8101.449,8190.337,8282.023,8372.127,8462.322,8556.164,8656.237,8763.353,8878.411,8999.696,9119.628,9237.202,9359.014,9485.576,9614.478,9741.88,9863.48,9976.248,10071.567,10152.522,10232.753,10284.951,10312.992
14,Bahamas,BHS,81.644,82.895,84.589,86.739,89.352,92.444,96.004,100.005,104.409,109.233,114.5,120.216,126.305,132.639,138.785,144.849,151.323,158.197,165.456,172.745,179.129,184.435,189.181,193.563,197.767,201.881,206.096,210.534,215.016,219.426,223.752,227.956,232.177,236.586,241.166,245.935,250.804,255.618,260.452,265.493,270.679,276.058,281.973,288.164,293.997,299.554,304.933,310.171,315.398,320.272,325.014,329.626,334.002,338.49,343.089,347.804,352.664,357.666,362.795,368.057,373.272,377.95,382.061,385.65,389.131,392.697,395.976,399.02,401.906,404.557,406.471,407.906
15,Bahrain,BHR,117.149,120.354,123.685,127.186,130.895,134.865,139.171,143.897,149.077,154.685,160.691,166.97,173.359,179.891,186.587,193.012,199.019,204.916,210.801,216.696,222.555,230.992,243.143,256.632,270.627,285.116,300.044,315.337,330.912,346.697,362.595,377.43,391.017,404.772,419.217,434.375,450.196,466.565,483.337,500.349,517.418,535.415,554.47,573.755,593.254,612.934,632.756,652.643,672.484,692.133,711.442,730.257,748.324,778.256,833.451,901.921,970.981,1040.532,1110.343,1179.453,1213.645,1212.077,1224.939,1261.673,1311.134,1362.142,1409.661,1456.834,1487.34,1494.188,1477.469,1463.265
16,Bangladesh,BGD,39728.535,40548.59,41426.885,42329.279,43282.032,44315.548,45407.666,46560.522,47742.791,49004.963,50396.429,51882.769,53461.661,55094.115,56774.465,58500.159,60265.259,62104.488,63995.652,65866.908,67541.86,68376.204,69346.705,71144.818,72947.807,74700.345,76380.08,78137.788,80007.55,81908.151,83929.765,86154.836,88555.336,91045.478,93534.239,95959.099,98271.746,100490.256,102688.833,104893.674,107147.651,109242.834,111272.102,113418.757,115614.891,117793.338,119876.868,122039.226,124350.471,126754.824,129193.327,131670.484,134139.826,136503.206,138789.725,140912.59,142628.831,144135.934,145421.318,146706.81,148391.139,150211.005,152090.649,154030.139,155961.299,157830.0,159784.568,161793.964,163683.958,165516.222,167420.951,169356.251
17,Barbados,BRB,210.548,215.43,219.469,222.73,225.309,227.32,228.615,229.458,230.35,231.404,232.55,233.698,234.829,235.875,236.834,237.694,238.494,239.238,239.905,240.594,241.397,242.35,243.458,244.643,245.851,247.09,248.359,249.663,251.009,252.334,253.575,254.684,255.642,256.505,257.279,257.911,258.37,258.654,258.762,258.759,258.868,259.402,260.212,260.995,261.712,262.303,262.793,263.224,263.642,264.17,264.657,265.377,266.455,267.499,268.505,269.477,270.425,271.444,272.635,273.791,274.711,275.486,276.197,276.865,277.493,278.083,278.649,279.187,279.688,280.18,280.693,281.2
18,Belarus,BLR,7906.86,7879.085,7875.527,7893.237,7927.675,7976.356,8037.362,8109.539,8194.565,8288.638,8389.183,8495.746,8599.859,8694.986,8779.744,8854.528,8921.796,8985.772,9047.801,9108.451,9170.786,9236.766,9303.94,9369.574,9435.592,9500.738,9564.377,9628.875,9693.316,9756.248,9817.257,9877.121,9938.931,10004.049,10069.349,10133.211,10201.67,10270.609,10333.48,10387.61,10428.525,10457.617,10475.907,10480.484,10475.395,10461.696,10436.459,10400.924,10357.466,10308.283,10256.483,10201.209,10135.388,10065.878,9999.712,9935.163,9874.7,9825.986,9787.826,9757.708,9731.427,9706.981,9693.749,9691.137,9693.739,9700.609,9708.11,9707.876,9695.574,9673.971,9633.74,9578.167
19,Belgium,BEL,8617.344,8655.405,8695.582,8740.41,8787.229,8834.526,8881.501,8931.969,8987.674,9049.391,9108.724,9168.469,9230.329,9288.221,9350.467,9412.087,9466.115,9515.229,9556.254,9592.1,9629.376,9666.395,9700.298,9727.98,9749.065,9763.43,9773.537,9786.373,9800.206,9814.137,9828.986,9843.592,9857.343,9866.532,9873.6,9880.534,9887.815,9900.221,9917.995,9937.17,9959.56,9987.07,10016.455,10043.738,10069.182,10095.198,10123.229,10154.872,10188.538,10224.22,10264.343,10309.255,10355.568,10402.55,10456.163,10516.978,10582.975,10653.697,10726.716,10801.356,10877.947,10955.743,11031.139,11103.257,11176.723,11248.303,11316.836,11384.489,11448.595,11510.568,11561.717,11611.419
20,Belize,BLZ,69.116,71.22,73.461,75.642,77.807,79.986,82.196,84.451,86.746,89.061,91.403,93.757,96.188,98.862,101.772,104.838,108.062,111.411,114.825,118.145,120.905,123.091,125.054,126.875,128.62,130.801,133.471,136.183,138.933,141.823,145.133,148.764,152.409,156.053,159.721,163.436,167.191,170.98,174.817,178.695,182.589,186.462,190.299,194.177,198.416,203.556,209.84,217.117,224.907,232.733,240.406,248.1,255.987,263.998,272.128,280.375,288.729,297.173,305.671,314.171,322.106,329.538,337.059,344.688,352.335,359.871,367.313,374.693,382.066,389.095,394.921,400.031
21,Benin,BEN,2264.452,2280.678,2297.832,2316.684,2337.371,2360.081,2385.282,2413.053,2443.407,2476.498,2512.284,2551.216,2593.302,2638.082,2685.619,2735.843,2788.642,2843.739,2901.218,2961.166,3023.443,3088.381,3156.408,3227.38,3301.276,3378.703,3460.329,3546.454,3636.927,3732.394,3833.939,3941.569,4054.385,4171.526,4293.07,4419.552,4551.382,4688.787,4831.624,4979.68,5133.419,5293.046,5457.778,5706.181,5923.394,6046.511,6203.86,6387.026,6584.183,6788.589,6998.023,7212.041,7431.783,7659.208,7894.554,8149.419,8402.631,8647.761,8906.469,9172.514,9445.71,9726.38,10014.078,10308.73,10614.844,10932.783,11260.085,11596.779,11940.683,12290.444,12643.123,12996.895
